ts 	 trial # 	 led 	 alpha 	 gamma 	 theta 	 target_pos 	 center_pos 	 pointer_pt
63.056943056943055	1	False	39.895536287736945	91.35777288404928	40.1502203852521	[ 860.94065482 -205.23584492]	[311.7604777  253.54811605]	[309.71325684 164.12352498]
63.116883116883116	1	False	39.94980506802009	91.39880502704985	40.2192512350549	[ 860.41590154 -205.85714224]	[311.86582438 253.28285726]	[309.75331624 163.80557251]
63.17682317682317	1	False	39.89847941985218	91.29790258687505	40.19045466712418	[ 860.63489602 -205.59804178]	[311.93766276 252.83030192]	[309.98286947 163.35927327]
63.23676323676323	1	False	39.88758226776049	91.321822534429	40.19371985639545	[ 860.61007119 -205.62742623]	[311.87736003 252.65346273]	[309.88500977 163.17321777]
63.29670329670329	1	False	39.87907522856168	91.3999696225143	40.19037357517275	[ 860.63551253 -205.59731199]	[311.89550781 252.55145264]	[309.78072103 163.05470785]
63.35664335664335	1	False	39.88972219777076	91.47302308119555	40.2150072180841	[ 860.44818497 -205.81896312]	[311.91479492 252.33022054]	[309.68634033 162.85162354]
63.416583416583414	1	False	39.82076112394521	91.37240864011235	40.16204655276688	[ 860.85080873 -205.34232867]	[312.07387288 251.89068604]	[310.00486247 162.51161702]
63.476523476523475	1	False	39.741719797164606	91.28003314758877	40.08537757730216	[ 861.43288964 -204.65166571]	[312.15321859 251.71856689]	[310.22578939 162.22250366]
63.536463536463536	1	False	39.744308829613814	91.15558161556852	40.08606636247881	[ 861.4276644  -204.65787401]	[312.36661784 251.57263184]	[310.63572184 162.18795776]
63.59640359640359	1	False	39.719813111004825	91.14512806166843	40.06938223838293	[ 861.55421179 -204.50747551]	[312.54433187 251.28407796]	[310.82694499 161.75360107]
63.65634365634365	1	False	None	None	39.9351037808933	[ 862.57110452 -203.2956863 ]	None	None
63.71628371628371	1	False	39.51499629445506	91.2871692296217	39.87705111604483	[ 863.00985836 -202.77105568]	[312.82017008 250.68910726]	[310.88376872 161.29340617]
63.77622377622377	1	False	39.50750682259409	91.42661961777466	39.872291000386156	[ 863.04581106 -202.72801809]	[312.92281087 250.55649821]	[310.769104   161.17223104]
63.836163836163834	1	False	39.35252703572843	91.46704535474235	39.71917265186561	[ 864.20039051 -201.34203887]	[312.92299398 250.39695231]	[310.70511882 160.96847534]
63.896103896103895	1	False	39.2978035650358	91.37716373999335	39.65786978064567	[ 864.66160202 -200.7862804 ]	[313.11714681 250.29217529]	[311.03812663 160.80154419]
63.95604395604395	1	False	39.182503609605774	91.16638919652092	39.53476564914384	[ 865.58597736 -199.66875634]	[313.37164307 250.10699463]	[311.62074788 160.5616862 ]
64.01598401598402	1	False	39.09379388340734	90.98537879221753	39.43462453212315	[ 866.33615354 -198.75822442]	[313.54496257 250.06622314]	[312.07562256 160.44241333]
64.07592407592408	1	False	39.019662381708	90.933754853045	39.35587796885846	[ 866.92494062 -198.04130217]	[313.57548014 250.050354  ]	[312.18800863 160.49993896]
64.13586413586413	1	False	39.01513681060964	90.91386697052945	39.34701846076578	[ 866.99112137 -197.96059306]	[313.62135824 250.07517497]	[312.26519775 160.54032389]
64.19580419580419	1	False	38.97102762650649	90.94110408304537	39.30523420929333	[ 867.30308254 -197.57980538]	[313.63132731 249.99560547]	[312.23360189 160.52389526]
64.25574425574425	1	False	38.92025743951846	90.9008499522142	39.24773720200533	[ 867.73190098 -197.05545272]	[313.66320801 250.0300293 ]	[312.32869466 160.58307902]
64.31568431568431	1	False	38.8824617121394	90.9337717155001	39.2105413783967	[ 868.00903076 -196.71601064]	[313.62469482 250.02097575]	[312.23842367 160.54973348]
64.37562437562437	1	False	38.87197527439386	90.87937765651004	39.19169574696721	[ 868.14935718 -196.54396031]	[313.6389974  250.12729899]	[312.33768717 160.659139  ]
